name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,2024-04-21,70,33.9,49.3,70,28.6,47.9,37.1,70.8,0,0,0,,0,0,4.5,5.8,300.4,1029,1.8,6.1,163.1,14.1,6,10,2024-04-21T06:32:22,2024-04-21T17:31:38,0.4,Clear,Clear conditions throughout the day.,clear-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-22,73.2,39.4,52.1,73.2,39.4,51.3,42.4,74.5,0,0,0,,0,0,6.9,8.1,296.8,1027.8,31.3,5.2,162.1,14,6,10,2024-04-22T06:33:10,2024-04-22T17:30:26,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-23,69.8,34.2,52.1,69.8,34.2,51.8,43.3,74.9,0,0,0,,0,0,19.9,16.4,330.1,1023,17.1,6.2,157.7,13.7,6,10,2024-04-23T06:33:59,2024-04-23T17:29:15,0.47,Clear,Clear conditions throughout the day.,clear-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-24,67.9,44.4,56.5,67.9,40.8,55.8,40.9,59.5,0,0,0,,0,0,38.3,20.5,329.1,1016.9,59,6.2,143.9,12.3,6,10,2024-04-24T06:34:48,2024-04-24T17:28:05,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-25,64.2,31.8,47.9,64.2,26.6,46.3,35.2,64.8,0,0,0,,0,0,13,8.7,6.3,1020.8,13.8,6.2,156.5,13.6,6,10,2024-04-25T06:35:36,2024-04-25T17:26:56,0.54,Clear,Clear conditions throughout the day.,clear-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-26,64,33.6,48.5,64,29.4,47.8,37.5,69.7,0,0,0,,0,0,8.5,7,72.6,1023.8,6.8,6.2,149.8,13,6,10,2024-04-26T06:36:25,2024-04-26T17:25:48,0.57,Clear,Clear conditions throughout the day.,clear-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-27,66,40.8,50.2,66,38.5,48.9,43,79.6,0,0,0,,0,0,7.4,7.3,156.1,1026.8,47.8,5.9,157.8,13.7,6,10,2024-04-27T06:37:13,2024-04-27T17:24:41,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-28,67.9,34,49.6,67.9,31.6,49.3,42.2,78.9,0,0,0,,0,0,13.6,11.4,330.6,1025.8,62.3,5.4,115.3,10.1,7,10,2024-04-28T06:38:02,2024-04-28T17:23:35,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-29,66.1,35.5,50.7,66.1,35.5,50.3,45.9,85.8,0.008,100,8.33,rain,0,0,21.7,13.9,355.8,1023.7,67.8,5.6,86,7.4,4,10,2024-04-29T06:38:51,2024-04-29T17:22:30,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,F0067"
australia,2024-04-30,60.7,49.9,54.3,60.7,46.6,54.1,48.8,82.4,0.012,100,12.5,rain,0,0,22.8,10.3,120.4,1026.5,97.9,6.2,59.3,5,2,10,2024-04-30T06:39:39,2024-04-30T17:21:26,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"YSCB,F0067"
australia,2024-05-01,62.5,37.3,47.6,62.5,33.5,45.5,37.2,70.8,0,0,0,,0,0,21.7,12.8,133.4,1030.8,3.5,6.6,149.1,12.9,6,10,2024-05-01T06:40:28,2024-05-01T17:20:24,0.75,Clear,Clear conditions throughout the day.,clear-day,"YSCB,F0067"
australia,2024-05-02,60,38.4,47.6,60,35.2,45.5,39,74.8,0,0,0,,0,0,19,10.5,117.9,1031.8,32.7,15,170.5,14.7,6,10,2024-05-02T06:41:16,2024-05-02T17:19:22,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
australia,2024-05-03,58.7,39.5,47,58.7,35.7,44.7,40.2,79.6,0.004,0,4.17,rain,0,0,20.1,11,114.6,1030.1,82.3,15,140.9,12.1,6,10,2024-05-03T06:42:05,2024-05-03T17:18:21,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
australia,2024-05-04,60.2,40.5,49,60.2,37.5,47.4,40.9,75.7,0,9.7,0,,0,0,18.1,8.9,118.4,1026.3,92.5,15,111.7,9.8,5,10,2024-05-04T06:42:53,2024-05-04T17:17:22,0.86,Overcast,Cloudy skies throughout the day.,cloudy,
australia,2024-05-05,58.7,42.3,49.6,58.7,39.8,48.1,43.2,79.6,0.008,16.1,8.33,rain,0,0,25.9,10.1,140.3,1026.5,86.2,15,75.1,6.5,4,10,2024-05-05T06:43:42,2024-05-05T17:16:24,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
australia,2024-05-06,55.5,43.1,49.4,55.5,39.1,47.7,44.7,84.2,0.016,12.9,16.67,rain,0,0,23,11,143.5,1030.9,90.9,15,33.7,3,3,10,2024-05-06T06:44:30,2024-05-06T17:15:27,0.93,Overcast,Cloudy skies throughout the day.,cloudy,
australia,2024-05-07,58,43.1,49.2,58,39.8,47.8,44.1,83.5,0,9.7,0,rain,0,0,14.5,8.5,114.4,1031.9,47.3,15,80.5,6.9,3,10,2024-05-07T06:45:18,2024-05-07T17:14:31,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
australia,2024-05-08,59.6,45.2,50.7,59.6,44.1,50.1,44.1,79.8,0.004,22.6,4.17,rain,0,0,9.6,6.5,91.8,1030.5,75.4,15,84.5,7.4,4,10,2024-05-08T06:46:06,2024-05-08T17:13:37,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
australia,2024-05-09,57.8,44.5,50.1,57.8,44.5,49.6,44.6,82.4,0.031,19.4,4.17,rain,0,0,15.2,8.9,122.6,1028.5,99.6,14.5,58.9,5.3,2,10,2024-05-09T06:46:54,2024-05-09T17:12:43,0.03,Overcast,Cloudy skies throughout the day.,cloudy,
australia,2024-05-10,50.4,47.6,49.5,50.4,45.9,47.8,47.5,93,0.107,22.6,25,rain,0,0,25.3,8.9,149.7,1025.2,98.9,14.4,10.3,0.9,0,10,2024-05-10T06:47:42,2024-05-10T17:11:52,0.06,Overcast,Cloudy skies throughout the day.,cloudy,
australia,2024-05-11,51.2,44.9,48.7,51.2,44.9,47.9,45.8,89.7,0.46,29,29.17,rain,0,0,20.4,9.6,194.6,1020.3,87.7,12.9,40,3.6,1,10,2024-05-11T06:48:29,2024-05-11T17:11:01,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
