Date,Hour,Temperature,RainProb,WindSpeed,HeavyWeather
2024-05-08,23.0,17.59,0.0,14.904,0
2024-05-09,0.0,19.62,0.0,17.1,0
2024-05-09,1.0,21.76,0.0,17.676000000000002,0
2024-05-09,2.0,23.59,0.0,18.144,0
2024-05-09,3.0,24.84,0.0,18.576,0
2024-05-09,4.0,25.64,0.0,18.18,0
2024-05-09,5.0,26.3,0.0,17.46,0
2024-05-09,6.0,26.65,0.0,17.892,0
2024-05-09,7.0,26.38,0.0,21.168,0
2024-05-09,8.0,25.38,0.0,22.716,0
2024-05-09,9.0,23.63,0.0,20.484,0
2024-05-09,10.0,22.01,0.0,20.376,0
2024-05-09,11.0,21.13,0.0,18.504,0
2024-05-09,12.0,20.33,0.0,16.272,0
2024-05-09,13.0,19.34,0.0,13.608,0
2024-05-09,14.0,18.17,0.0,10.836,0
2024-05-09,15.0,17.28,0.0,10.8,0
2024-05-09,16.0,16.59,0.0,11.376,0
2024-05-09,17.0,15.92,0.0,10.692,0
2024-05-09,18.0,15.24,0.0,10.584,0
2024-05-09,19.0,14.7,0.0,11.052,0
2024-05-09,20.0,14.23,0.0,10.404,0
2024-05-09,21.0,13.72,0.0,9.54,0
2024-05-09,22.0,13.77,0.0,9.18,0
2024-05-09,23.0,16.0,0.0,13.716,0
2024-05-10,0.0,17.72,0.0,19.08,0
2024-05-10,1.0,19.85,0.0,18.396,0
2024-05-10,2.0,22.36,0.0,19.872,0
2024-05-10,3.0,22.95,0.0,19.116,0
2024-05-10,4.0,23.99,0.0,18.756,0
2024-05-10,5.0,24.62,0.0,19.368,0
2024-05-10,6.0,24.76,0.0,19.692,0
2024-05-10,7.0,24.35,0.0,20.124,0
2024-05-10,8.0,23.32,0.0,20.556,0
2024-05-10,9.0,22.05,0.0,16.776,0
2024-05-10,10.0,21.01,0.0,15.912,0
2024-05-10,11.0,19.95,0.0,15.3,0
2024-05-10,12.0,18.95,0.0,15.696000000000002,0
2024-05-10,13.0,18.11,0.0,16.848,0
2024-05-10,14.0,17.25,0.0,16.992,0
2024-05-10,15.0,16.47,0.0,15.048,0
2024-05-10,16.0,15.71,0.0,12.744,0
2024-05-10,17.0,14.71,0.0,10.908,0
2024-05-10,18.0,14.01,0.0,10.656,0
2024-05-10,19.0,13.34,0.0,9.936,0
2024-05-10,20.0,12.8,0.0,9.576,0
2024-05-10,21.0,12.08,0.0,8.352,0
2024-05-10,22.0,12.42,0.0,7.704000000000001,0
2024-05-10,23.0,15.08,0.0,5.94,0
2024-05-11,0.0,17.68,0.0,9.54,0
2024-05-11,1.0,19.94,0.0,15.552,0
2024-05-11,2.0,21.47,0.0,19.188,0
2024-05-11,3.0,22.57,0.0,18.648,0
2024-05-11,4.0,23.3,0.0,17.964000000000002,0
2024-05-11,5.0,23.77,0.0,16.596,0
2024-05-11,6.0,23.9,0.0,16.848,0
2024-05-11,7.0,23.47,0.0,17.388,0
2024-05-11,8.0,22.65,0.0,16.56,0
2024-05-11,9.0,21.25,0.0,13.068,0
2024-05-11,10.0,19.96,0.0,12.564000000000002,0
2024-05-11,11.0,18.78,0.0,12.204,0
2024-05-11,12.0,17.65,0.0,12.024,0
2024-05-11,13.0,16.49,0.0,11.268,0
2024-05-11,14.0,15.46,0.0,10.836,0
2024-05-11,15.0,14.45,0.0,10.296,0
